AAB;Average At Best
TSWGAF;Tell Someone Who Gives A Fuck
TT;Telegrahic Transfer
TT4N;Ta Ta For Now
TTA;Tap That Ass
TTBOMK;To The Best Of My Knowledge
TTC;Trying To Conceive
TTD;Textually Transmitted Disease
TTEOT;Till The End of Time
TTF;That's The Fuck
TTFAF;Through The Fire And Flames
TTFL;Ta Ta For Later
TTFN;Ta-Ta For Now
TTFW;Too Tacky For Words
TTG;Time To Go
TTGG;Time To Go Girl
TTH;Trying Too Hard
TTIF;Thank Fuck It's Friday
TTIWWP;This Thread Is Worthless Without Pictures
TTJASI;Take This Job And Shove It
TTL;Thank The Lord
TTLY;Totally
TTM;Talk To Me
TTML;Talk To Me Later
TTO;Time To Own
TTP;To The Point
TTR;Time To Relax
TTT;bad school
TTTH;Talk To The Hand
TTTT;These Things Take Time
TTTTY;Time To Talk To You
TTUL;Talk To You Later
TTUS;Talk To You Soon.
TTY;Talk To You
TTYF;Talk To You Forever
TTYIAB;Talk To You In A Bit
TTYL;Talk To You Later
TTYM;Talk to You Mañana
TTYN;Talk To You Never
TTYRS;Talk To You Real Soon
TTYS;Talk to ya soon
TTYT;Talk To You Tomorrow
TTYTT;To Tell You The Truth
TTYVS;Talk To You Very Soon
TU;broken
TUDE;Bad attitude
TUFF;Rugged
TUFT;Pubic hair
TURF;area
TUSH;Bottom, ass
TUTU;Female private part
TUVM;Thank You Very Much
TUX;Tuxedo
TVM;Thanks Very Much
TW@;TWAT
TWAIN;Technology Without An Interesting Name
TWAT;Idiot
TWEAKED;High on drugs
TWEEKER;methamphetamine user
TWEETER;Person who posts on Twitter
TWERK;Work hips in a sexual way
TWF;That Was Funny
TWHS;That's What He Said
TWIMC;To Whom It May Concern
TWINK;Boyish gay man
TWINKS;Young Gay Men
TWIT;Foolish person
TWLOHA;To Write Love On Her Arms
TWOFT;Total Waste Of Fucking Time
TWOT;Total Waste Of Time
TWS;Typical Woman Syndrome
TWSS;That's what she said
TWT;Time Will Tell
TWTMC;To Whom This May Concern
TWU;That's What's Up
TXT;SMS message
TY;Thank You
TYB;Try Your Best
TYFAYS;Thank You For All Your Support
TYFYT;Thank You For Your Time
TYG;There You Go
TYL;Text You Later
TYM;Thank You Much
TYMBI;Thought You Might Be Interested
TYPO;A typing mistake
TYS;Thank You Sir
TYSM;Thank You So Much
TYSVM;Thank You So Very Much
TYT;Take Your Time
TYTO;Take Your Top Off
TYVM;Thank You Very Much
U;You
U2;You Too
U2U;Up To You
UA4I;You Asked For It
UARK;You Already Know
UAS;Ugly As Shit
UB2;You Be Too
UB3R;very
UBD;User Brain Damage
UBER ;Ultimate
UBRS;Upper Black Rock Spire
UC&P;Up Close and Personal
UCLA;University of California at Los Angeles
UDI;Unidentified Drinking Injury
UDK;You Don't Know
UFB;Un Fucking Believable
UFC;Ultimate Fighting Championship
UFO;Unidentified Flying Object
UG;Ugly
UG2BK;You've Got To Be Kidding
UGC;User Generated Content
UGG;Ugly
UGGO;Ugly person
UGGS;Brand of boots
UHQ;Ultra High Quality
UHU;Huh
UI;User Interface
UKWIM;You Know What I Mean
UKWUR;You Know Who You Are
UL;Upload
UM;hm
UMBJ;You Must Be Joking
UMF;Ugly MF
UMML;You Make Me Laugh
UMTWTM;You Mean The World To Me
UN;United Nations
UNCE;Sound of club music
UNF;Universal Noise of Fucking
UNI;University
UNK;Crackhead
UNO;You know
UP YOURS;Shut up
UPT;Uptown
URAQT;You Are A Cutie
URGH;I disagree
URM;You Are Mad
URNS;You Are An Ass
URP;Vomit
URW;You Are Welcome
URYYFM;You Are Too Wise For Me
USB;Universal Serial Bus
USBM;United States Black Metal
USC ;University of Southern California
USMC;United States Marine Corps
USP;Unique Selling Point
USPS;United States Postal Service
UST;Unresolved Sexual Tension
USW;Und so weiter
UT;Unreal Tournament
UTC;Under The Counter
UTE;Utility vehicle, pickup truck
UTF;Unicode Transformation Format
UTFG;Use The Fucking Google
UTH;Up The Hoods
UTI;Urinary Tract Infection
UTO;Unable To Obtain
UTT;Under The Table
UV;Unpleasant Visual
UW;You're Welcome
UWS;Upper West Side
UY;Up Yours
UYA;Up Your Ass
V;Very
V-CARD;Virginity
V/R;Very Respectfully
V8;Engine type
VA;Various Artists
VAC;Valve Anti-Cheat
VACA;Vacation, holiday
VAG;Vagina
VAIR;Very
VAJ;Vagina
VATO;Dude
VBG;Very Big Grin
VBL;Visible Bra Line
VBR;Variable Bit Rate
VBS;Very Big Smile
VC;Voice Chat
VCR;Video Cassette Recorder
VD;Venereal Disease
VDM;Vie de Merde
VDU;Visual Display Unit
VEETA;Money
VEG;Sit around and do nothing
VENT;Ventrilo
VERS;Versatile
VEXED;Angry
VF;VampireFreaks
VFL;Virgin For Life
VFM;Value For Money
VG;Video Game
VGA;Video Graphics Array
VGG;Very Good Game
VGL;Very Good Looking
VHS;Video Home System
VIBE;Atmosphere
VID;Video
VIG;Interest paid on a loan
VIXEN;Attractive woman
VJ;Video Jockey
VL;Very loud
VLOG;Video Log
VLOGGER;Video blogger
VM;Voice Mail
VN;Very Nice
VNC;Virtual Network Computing
VNH;Very Nice Hand
VNS;Very Nice Shot
VOD;Video-On-Demand
VOM;Vomit
VP;Vice President
VPL;Vislible Panty Line
VPN;Virtual Private Network
VR;Virtual Reality
VS;Versus, against
VSF;Go Fuck Yourself
VTPR;View To Permanent Relationship
VV;Very Very
VW;Volkswagen
VWE;Very Well Endowed
VWP;Very Well Played
W'EVER;Whatever
W/;With
W/E;Whatever
W/O;Without
W00T;Hurrah
W2F;Way Too Funny
W2G;Way To Go
W3C;World Wide Web Consortium
W4M;Woman looking for a man
W4T;Woman looking for a transvestite
W4W;Woman looking for another woman
W8;Wait
W8AM;Wait A Minute
WA;Wife Agro
WAA;Crying
WAAM;What's going on
WAAN;Want
WAB;What A Bastard
WACK;Lame
WAD;Ejaculate
WAEFRD;When All Else Fails, Read Directions
WAF;Wack As Fuck
WAG;Wild Ass Guess
WAG1;What's going on?
WAGWAN;What's Going On?
WAGWARN;What's going on?
WAGWUN;What's going on?
WAH;Working At Home
WAHM;Work At Home Mom
WAJ;What A Joke
WAL;What A Loser
WALAHI;I swear to God
WALE;Rapper
WALLAH;I swear to God
WALLHAX;Wall hack
WALLY;Stupid person
WAM;Wait A Minute
WAMH;With All My Heart
WAML;With All My Love
WAMW;Wish A Motherfucker Would
WAN;What A Newb
WANG;Penis
WANK;Masturbate
WANKER;Idiot
WANNA;Want to
WANNABE;Someone who wants to be what they are not
WAO;Wow
WAP;Wireless Access Point
WAPCE;Women Are Pure Concentrated Evil
WAREZ;Cracked/pirate software
WASF;We Are So Fucked
WAT;What
WATP;We Are The People
WAU;What About You?
WAVEY;Drunk, high
WAVY;Well dressed
WAW;What A Wanker
WAX;Without Any Experience
WAYD;What Are You Doing
WAYDRN;What Are You Doing Right Now?
WAYLT;What Are You Listening To?
WAYOA;What Are You On About?
WAYTA;What Are You Talking About
WAZ;Piss
WAZ UP;What's Up?
WAZZ;Piss
WB;Welcome Back
WBM;Wanna-Be Moderator
WBN;Would Be Nice
WBR;With Best Regards
WBS;Write Back Soon
WBT;Will Be There
WBU;What About You?
WBY;What About You?
WC;Welcome
WCB ;Will Call Back
WCD;What Chu Doing?
WCS;Worst Case Scenario
WD;Well Done
WD40;Multi-purpose lubricant
WDC;What's Da Craic?
WDF;What Dthe Fuck
WDITOT;Why Didn't I Think Of That
WDMB;Will Do My Best
WDOML;Worst Day Of My Life
WDTM;What Does That Mean?
WDUD;What Do You Do?
WDUT;What Do You Think?
WDYM;What Do You Mean?
WDYMBT;What Do You Mean By That?
WDYT;what do you think?
WDYWTTA;What Do You Want To Talk About?
WEBINAR;Web based seminar
WEE;Small
WEED;Marijuana
WEEE;Exclamation of excitement
WEENIE;Penis
WEF;With Effect From
WEG;Wicked Evil Grin
WEHT;What Ever Happened To?
WEL;Whatever, Loser
WELC;You're Welcome
WELP;Well
WEML;Whatever Major Loser
WENG;Good looking
WEPA;All right
WERD;I agree
WEVA;Whatever
WEWT;What
WEY;Dude
WF;Want to fuck?
WFC;Who Fucking Cares?
WFH;Working From Home
WFM;Works For Me
WFO;Wide Fucking Open
WFT;Well Fuck That
WG;Working Girl
WGAF;Who Gives A Fuck?
WGAFF;Who Gives A Flying Fuck
WGARA;Who Gives A Rat's Ass?
WGAS;Who Gives A Shit?
WGAT;what
WGO;What's Going On
WH;Wall hack
WH40K;Warhammer Forty-Thousand
WHA;What
WHACK;Bad
WHALE TAIL;Shape of g-string under low trousers
WHATCHA;What are
WHEELING;Picking up women
WHEW;thank god
WHITEWASH;Act like a white person
WHIZ;Talented person
WHOE;Whore
WHOOP;beat
WHT;What
WHUT;What
WHYD;What Have You Done?
WIA;Wounded In Action
WIBNI;Wouldn't It Be Nice If
WIC;Women, Infants and Children
WID;With
WIF;With
WIFEY;Serious girlfriend, wife material
WIFF;With
WIGGER;White person pretending to be black
WIIFM;What's In It For Me
WIP;Work In Progress
WIR;When It's Ready
WIT;With
WITW;What In The World
WIUWY;What Is Up With You?
WIV;With
WIWWY;What Is Wrong With You?
WIYP;What Is Your Problem?
WIZ;same as WIZZ
WIZZ;piss
WJD;What Jesus Did
WKND;Weekend
WLD;Would
WLM;Windows Live Messenger
WLTM;Would Like To Meet
WLYK;Will Let You Know
WM;Woman Marine
WMA;Windows Media Audio
WMAO;Work My Ass Off
WMD;Weapons of Mass Destruction
WMF;Wagging My Finger
WMG;Warner Music Group
WMJ;What are you doing?
WML;Wish Me Luck
WMMOWS;Wash My Mouth Out With Soap!
WMP;Windows Media Player
WNDITWB;We Never Did It This Way Before
WNOHGB;Where No One Has Gone Before
WNWY;What's New With You?
WOAT;Worst Of All Time
WOB;Waste Of Bandwith
WOC;Women of Color
WOE;What On Earth
WOF;While On Fire
WOFTAM;Waste Of Fucking Time And Money
WOG;black person
WOLS;Slow
WOM;Women Over Mates
WONK;Expert
WONKY;Weird
WOOFTER;gay person
WOOK;Dirty hippy
WOOP;Hurrah
WOOT;Hurrah
WOP;Italian
WOR;Our
WORD UP;I agree
WOS;Waste Of Space
WOT;What
WOTAM;Waste of Time and Money
WOTLK;Wrath Of The Lich King
WOTS;Word On The Street
WOWZER;Wow
WOZ;Was
WP;Well Played
WPA;Wi-Fi Protected Access
WPM;Words Per Minute
WPWW;White Pride World Wide
WR;Warm Regards
WRT;With Regard to
WRU;Where are you?
WRUD;What are you doing?
WS;Watersports
WSA;Wow, Strong Arms
WSP;What's up?
WSS;Why So Serious?
WST;We're Still Friends
WSUL;Will See You Later
WSW;Woman Seeking Woman
WT;What
WT?;What The
WTA;Winner Takes All
WTAF;What The Actual Fuck
WTB;Want To Buy
WTC;What The Crap
WTD;What The Deuce?
WTDT;What To Do Today
WTDTA;Where They Do That At?
WTF;What The Fuck?
WTFAYD;What The Fuck Are You Doing?
WTFAYTA;What The Fuck Are You Talking About?
WTFB;What The Fuck Bitch
WTFC;Who the Fuck Cares
WTFE;What the Fuck Ever
WTFF;What The Fucking Fuck
WTFH;What The Fucking Hell?
WTFIGO;What The Fuck Is Going On?
WTFITSTM;What The Fuck Is That Supposed To Mean?
WTFIUWT;What The Fuck Is Up With That?
WTFIWWY;What The Fuck Is Wrong With You?
WTFIYP;What The Fuck Is Your Problem?
WTFN;Why The Fuck Not?
WTFO;What The Fuck, Over
WTFRU;Where The Fuck Are You?
WTFS;What The Fucking Shit
WTFT;What The French Toast
WTFU;Wake The Fuck Up
WTFWJD;What The Fuck Would Jesus Do?
WTFWT;What The Fuck Was That?
WTG;Way To Go
WTGP;Way To Go, Partner
WTGP?;Want To Go Private?
WTH;What The Hell
WTHC;Who The Hell Cares?
WTHIGO;What The Hell Is Going On?
WTII;What time Is It?
WTK;Want To Know
WTL;Will Talk Later
WTLW;Welcome To Last Week
WTM;What's The Matter?
WTMF;What The Mother Fuck
WTMI;Way Too Much Information
WTMW;Welcome To My World
WTO;World Trade Organization
WTP;What's The Point?
WTS;Want To Sell
WTSHTF;When The Shit Hits The Fan
WTT;Want To Trade
WTTIR;When The Time Is Right
WTTM;Without Thinking Too Much
WTV;Whatever
WTY;Why, Thank You
WTYO;Whatever Turns You On
WU;Whats Up?
WUB;Love
WUBU;What You Been Up to?
WUBU2;What Have You Been Up To?
WUD;would
WUF;Where are you from?
WUG;What You Got?
WUGOWM;Will You Go Out With Me?
WUH;What?
WUL;Watched User List
WULA;What're you Looking At?
WUM;Woman
WUN;Bye
WUP;What´s Up
WUS;Wimp
WUT;What
WUU2;What are You Up To?
WUUP2;What are You Up To?
WUUT;What are you up to?
WUV;Love
WUWCB;What do You Want to Chat about?
WUWH;Wish You Were Here
WUWT;What's Up With That
WUWTA;What You Wanna Talk About?
WUWTB;What You Wanna Talk 'Bout?
WUWU;What's Up With You?
WUZ;Was
WW1;World War One
WW2;World War Two
WWBD;What Would Batman Do?
WWCND;What Would Chuck Norris Do?
WWE;World Wrestling Entertainment
WWF;World Wildlife Fund
WWJBD;What Would Jason Bourne Do?
WWJD;What Would Jesus Do?
WWOTW;Wicked Witch Of The West
WWW;World Wide Web
WWWY;What's Wrong With You?
WWYD;What Would You Do?
WWYDT;Why Would You Do That?
WY;Why
WYATB;Wish You All The Best
WYBMV;Will You Be My Valentine?
WYD;What You Doing?
WYDN;What You Doing Now?
WYFP;What's Your Fucking Problem
WYGOWM;Will You Go Out With Me?
WYK;Would You Kindly
WYL;Whatever You Like
WYLABOCTGWTR;Would You Like A Bowl Of Cream To Go With That Remark?
WYLASOMWTC;Would You Like A Saucer Of Milk With That Comment?
WYLSCWTW;Would You Like Some Cheese With That Whine?
WYM;Watch Your Mouth
WYMM;Will You Marry Me?
WYP;What's Your Problem?
WYR;Would You Rather
WYSIWYG;What You See Is What You Get
WYTA;What You Talking About?
WYWH;Wish You Were Here
W^;What's up
XB;XBox
XBF;Ex-Boyfriend
XBL;Xbox Live
XC;Cross Counrty
XHTML;Extensible Hyper-Text Markup Language
XLNT;Excellent
XLR8;Accelerate
XLS;MS Excel file extension
XML;eXtensible Markup Language
XOXO;Hugs & Kisses
XOXOXO;Hugs And Kisses
XS;Extra Small
XT;Cross Training
XTC;Ecstasy
XVID;Video format
XX;Kiss Kiss
XXX;Kisses
XYZ;Examine Your Zipper
Y;Why?
Y/N;Yes/No
Y/Y;Yes/Yes
Y2K;Year 2000
YA;You
YAAR;mate
YAB;You Are Banned
YADA;And so on
YAG;You Are Gay
YAGB;You Ain't Grizz Baby
YAHOO;Yob, lout
YAHWEH;God
YAK;You Already Know
YAL;Girl
YALL;You All
YALLA;Hurry Up
YALLAH;Let's Go
YANK;American
YANKEE;American
YANNO;You Know
YANO;You Know
YAOI;Homosexual
YAP;Steal
YAR;Yes
YARLY;Yeah Really
YAS;You are Sexy
YASNY;You Ain't Seen Nothing Yet
YATB;You Are The Best
YATK;You Are Too Kind
YBS;You'll Be Sorry
YBW;You've Been Warned
YC;You're Cool
YCMIU;You Couldn't Make It Up
YCMU;You Crack Me Up
YDEK;You Don't Even Know
YDI;You Deserve It
YDK;You Don't Know
YDKS;You Don't Know Shit
YDL;Yellow Dog Linux
YDMS;You Don't Make Sense
YE;Yes
YEA;Yes
YEH;Yes
YELLO;Hello
YEP;Yes
YER;Your
YERP;Yes
YESH;Yes
YEW;You
YEYO;Cocaine
YEZZER;Yes Sir
YF;Your Friend
YFF;You Fucking Fuck
YFOS;You're Full Of Shitt
YFP;Your Fucking Problem
YFW;Your Face When
YG;Young Gangster
YGBSM;You've Gotta Be Shitting Me
YGG;You Go Girl
YGI;You Got It
YGM;You Get Me?
YGP;You Got Owned!
YGPM;You've Got Private Message
YGTBK;You've Got To Be Kidding
YGTBKM;You've Got To Be Kidding Me
YGTBSM;You've Got To Be Shitting Me
YH;Yeah
YHBT;You Have Been Trolled
YHGASP;You Have Got A Serious Problem
YHL;You Have Lost
YHU;You
YINS;You guys, you all
YITB;Yours In The Bond
YJLTG;You Just Lost The Game
YK;You're Kidding
YKIMS;You Know It Makes Sense
YKW;You Know Who
YKWIM;You Know What I Mean
YKWIS;You Know What I'm Saying?
YKYLM;You Know You Love Me
YL;Young Lady
YLM;You Love Me?
YM;Yahoo Messenger
YMBJ;You Must Be Joking
YMCA;Young Mens Christian Association
YMCMB;Young Money Cash Money Billionaires
YMMD;You Made My Day
YMMV;Your Mileage May Vary
YMW;You're Most Welcome
YN;Crossed fingers
YNT;Why Not?
YNWA;You'll Never Walk Alone
YOKED;Well built
YOLO;You Only Live Once
YOMB;You Owe Me Big
YOO;You
YOOH;You
YOUNS;You guys, you all
YOUS;You, you guys
YOUSE;You guys
YOYO;You're On Your Own
YP;Your Problem
YQ;I like you
YQW;You're Quite Welcome
YR;Yea, Right.
YRG;You Are Good!
YRS;Years
YSG;You're So Gay
YSI;you stupid idiot
YSK;You Should Know
YSL;Yves Saint Laurent
YSMTU;You So Made That Up
YSS;You Suck Severely
YT;Are you there?
YT?;You Think ?
YTB;You're The Best
YTD;Year To Date
YTF;Why The Fuck?
YTM;You're The Man
YTMND;You're the man now, dog
YTP;YouTube Poop
YUCKY;Disgusting, gross
YUH;Yes
YUP;Yes
YUPPERZ;Yes
YUPPIE;Young Urban Professional
YURI;lesbian
YUS;Yes
YVW;You're Very Welcome
YW;You're Welcome
YWCA;Young Women's Christian Association
YWIMC;Your Wish Is My Command
YWSYLS;You Win Some, You Lose Some
YWU?;Yo Waz Up?
ZA;Pizza
ZAIN;Beautiful
ZIG ZAG;Cigarette paper
ZIMBO;Person from Zimbabwe
ZING;Owned
ZIP;Ounce of marijauna
ZOMB;Zombie
ZOMFG;oh my fucking god
ZOMG;oh my god
ZONKED;Very tired
ZONKED;inebriated
ZOOT;joint
ZOOTED;High on drugs
ZTA;Zeta Tau Alpha
ZUP;What's up?
ZUT;Damn it
ZZZ;Sleepy
KWN;know
SM;some
FVCK;fuck
doin;doing
whats;what is
u;you
cud;could
cba;Can't be bothered
can't ;can not
wouldn't ;would not
haven't ;have not
shouldn't;should not
didn't;did not
musn't;must not
wasn't;was not
don't;do not
couldn't;could not
hadn't;had not
hasn't ;has not
isn't;is not
won't ;will not
wouldnt;would not
havent;have not
shouldnt;should not
didnt;did not
musnt;must not
wasnt;was not
dont;do not
couldnt;could not
hadnt;had not
hasnt;has not
isnt;is not
wont;will not
bck;back
gon;going to
knw;know
sh!t;shit
yaa;you
wana;want to
wanna;want to
cant;can not
lil;little
1st;first
2nd;second
3rd;third
matta;matter
till;until
w/no;with no
shes;she is
she's ;she is
he's ;he is
hes ;he is
nuttin;nothing
nutin;nothing
fer;for
aint;is not
ain't ;is not
goin;going
hawt;hot
gurl;girl
guurl;girl
needa;need to
xbl;xbox live
